Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Strap Size (product.metafields.custom.strap_size),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Band material (product.metafields.shopify.band-material),Battery size (product.metafields.shopify.battery-size),Battery technology (product.metafields.shopify.battery-technology),Battery type (product.metafields.shopify.battery-type),Clasp type (product.metafields.shopify.clasp-type),Color (product.metafields.shopify.color-pattern),Operating system (product.metafields.shopify.operating-system),SIM card capability (product.metafields.shopify.sim-card-capability),Subscription type (product.metafields.shopify.subscription-type),Target gender (product.metafields.shopify.target-gender),Watch accessory style (product.metafields.shopify.watch-accessory-style),Watch display (product.metafields.shopify.watch-display),Watch features (product.metafields.shopify.watch-features),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
copy-of-mwc-1940s-1950s-dirty-dozen-pattern-general-service-watch-with-21-jewel-automatic-movement-2,Aeschbach WW2 Pattern Germany Luftwaffe / Reichsluftfahrtministerium (RLM) Pilots Watch with Sapphire Box Crystal and 21 Jewel Automatic Mechanical Movement,"<p><strong>SKU CODE: ABACH/DUHR1</strong></p>
<p>This automatic, self-winding military watch is a faithful reproduction of a classic World War II Aeschbach* design. It features a shatterproof and scratch-resistant sapphire crystal, a small subsidiary second-hand dial, and retains the timeless style used by the German Luftwaffe during the war. Originally issued to Luftwaffe pilots by the Reichsluftfahrtministerium (RLM/German Air Ministry) on a mission-by-mission basis, these watches were returned to the quartermaster after each mission.</p>
<p>This modern version closely replicates Aeschbach's original WWII models. While the authentic watches are rare and command high prices, this updated version remains almost indistinguishable in appearance, featuring enhancements for everyday practicality. The acrylic crystal from the original has been upgraded to sapphire for improved durability, and the 15-jewel hand-winding movement has been replaced with a 21-jewel self-winding automatic movement that also allows for manual winding if desired. The Watch also has a screw down locking crown to enhance water resistance and durability. These subtle updates ensure greater reliability while maintaining the historic design.</p>
<h3>Key Features:</h3>
<ul>
<li>
<strong>Case Material:</strong> Military-grade 316L stainless steel</li>
<li>
<strong>Crystal:</strong> Shatter- and scratch-resistant box sapphire, styled to mimic the original plexiglass</li>
<li>
<strong>Dial:</strong> Black with luminous markings</li>
<li>
<strong>Movement:</strong> 21-jewel automatic, with hacking and manual winding capabilities</li>
<li>
<strong>Water Resistance:</strong> 10ATM / 100M</li>
<li>
<strong>Crown: </strong>Stainless Steel Screw Down Locking</li>
<li>
<strong>Strap:</strong> 18mm black leather</li>
<li>
<strong>Lugs: </strong>Drilled Lugs</li>
<li>
<strong>Case Dimensions:</strong>
<ul>
<li>Diameter: 36.5 mm (excluding crown), 39 mm (including crown)</li>
<li>Lug-to-Lug: 43 mm</li>
<li>Thickness: 13.5 mm</li>
</ul>
</li>
<li>
<strong>Guarantee:</strong> 24 months</li>
<li>
<strong>Packaging:</strong> Supplied in a box with serial number engraved on the caseback</li>
</ul>
<hr>
<h3>Historical Context: Aeschbach Watches</h3>
<p>Aeschbach, established in 1923, was one of many Swiss and German manufacturers producing military watches during WWII for the Wehrmacht, Kriegsmarine, and Luftwaffe. Collecting these historical timepieces can be challenging due to the sheer number of manufacturers involved, with over 100 suppliers identified to date. A group of military watch enthusiasts has compiled a nearly comprehensive list of these manufacturers, which can be accessed on their website under ""WWII German Watches."" Contributions to fill in any gaps in their research are welcome.</p>
<h3>The Revival of Aeschbach</h3>
<p>Aeschbach, based in Pforzheim, faced devastating losses during WWII. Pforzheim, a southwestern German town known for its watchmaking industry, was heavily bombed during an RAF raid on February 23, 1945. The attack destroyed 83% of the town's buildings, including the Aeschbach workshops, and caused significant loss of life. Production ceased, and the company was presumed defunct.</p>
<p>Decades later, a surviving family member discovered original technical drawings and a small collection of watches while sorting through a deceased relative's belongings. This remarkable find provided the foundation to revive the brand, ensuring Aeschbach’s legacy continues.</p>
<p>This model, with its timeless design and thoughtful updates, celebrates the rich history of Aeschbach while offering modern reliability and durability.</p>
<p><em>MWC are the official authorised distributors for Aeschbach watches. </em></p>",Aeschbach,Apparel & Accessories > Jewelry > Watches,Classic Range,"Classic Range, Handwound & Automatic Models",true,Title,Default Title,,,,,,,,ABACH/DUHR1,0.0,shopify,deny,manual,279.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1140/1866/files/8F9F85EF-0F04-4D3A-B81B-D99005D169FF.png?v=1773902139,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
copy-of-mwc-1940s-1950s-dirty-dozen-pattern-general-service-watch-with-21-jewel-automatic-movement-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1140/1866/products/ABACH_DUHR1-Side_JAN0419b.jpg?v=1773902139,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-mwc-1940s-1950s-dirty-dozen-pattern-general-service-watch-with-21-jewel-automatic-movement-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1140/1866/products/ABACH_DUHR1backJAN0417b.jpg?v=1773902139,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-mwc-1940s-1950s-dirty-dozen-pattern-general-service-watch-with-21-jewel-automatic-movement-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1140/1866/products/Aeschbach-1-box_JAN0404b.jpg?v=1773902139,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-mwc-1940s-1950s-dirty-dozen-pattern-general-service-watch-with-21-jewel-automatic-movement-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1140/1866/products/LuftwaffePilotsWW2_d6622e9e-4157-4010-83d9-52e8946be563.jpg?v=1773902139,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-mwc-1940s-1950s-dirty-dozen-pattern-general-service-watch-with-21-jewel-automatic-movement-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1140/1866/files/ABACH_DUHR1_and_HW.jpg?v=1773902139,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-mwc-1940s-1950s-dirty-dozen-pattern-general-service-watch-with-21-jewel-automatic-movement-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1140/1866/files/ABACH-DUHR1_8.jpg?v=1773902139,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-mwc-1940s-1950s-dirty-dozen-pattern-general-service-watch-with-21-jewel-automatic-movement-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1140/1866/files/ABACH-DUHR15.jpg?v=1773902139,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-mwc-1940s-1950s-dirty-dozen-pattern-general-service-watch-with-21-jewel-automatic-movement-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1140/1866/files/ABACH-DUHR11_f8242e1e-1d0e-493a-8b83-a1d9eeef44d2.jpg?v=1773902139,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-mwc-1940s-1950s-dirty-dozen-pattern-general-service-watch-with-21-jewel-automatic-movement-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1140/1866/files/ABACH_DUHR1.jpg?v=1773902139,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
